=== 1-char sequences ===
관 및 : 2
보 다 : 2
는 건 : 1
빈 지 : 1
갈 때 : 1
내 집 : 1
역 수 : 1
및 시 산 : 1
이 그 후 : 1
안 때 : 1
한 그 복 : 1
은 위 : 1
한 위 : 1
경 개 : 1
이 행 : 1
가 제 : 1
까 지 할 : 1
이 잔 : 1
은 잔 : 1
그 뜻 : 1
해 당 : 1
인 점 : 1
더 길 수 : 1
더 긴 : 1
매 장 : 1
클 때 : 1
이 총 : 1
및 연 : 1
단 한 번 : 1
가 이 : 1
시 잔 : 1
및 궁 박 : 1
청 구 : 1
그 등 : 1
후 양 : 1
은 각 : 1
갱 신 : 1
이 그 건 : 1
가 그 : 1
직 접 : 1
나 타 : 1
일 물 : 1
로 총 : 1
비 용 : 1
한 국 : 1
만 원 중 : 1
중 순 : 1
는 약 : 1
점 증 : 1
의 앞 : 1
지 역 : 1
을 복 : 1

=== Word + 1-char ===
민법 제 : 724
법령 및 : 564
청구할 수 : 363
계획 및 : 284
업무 및 : 283
민법 및 : 281
공법 중 : 280
없는 한 : 261
시행령 제 : 248
구축 및 : 218
도시 및 : 209
신청할 수 : 200
경우 그 : 123
행사할 수 : 116
법률 제 : 114
받을 수 : 93
지정할 수 : 92
대항할 수 : 74
경우에는 그 : 74
취소할 수 : 71
설명 중 : 69
주장할 수 : 62
건축법 제 : 60
때에는 그 : 51
해제할 수 : 50
아니할 수 : 48
등기를 할 : 47
규칙 제 : 43
설치할 수 : 42
정할 수 : 40
거절할 수 : 38
취득할 수 : 38
지방세법 제 : 38
주택법 제 : 37
원인으로 한 : 36
소유 및 : 35
등기할 수 : 35
토지 및 : 33
사항 중 : 33
발행할 수 : 32
토지 등 : 31
시행할 수 : 31
사용할 수 : 30
지정 및 : 30
지정될 수 : 30
요청할 수 : 30
자는 그 : 29
양도할 수 : 29
건축물 및 : 29
대행할 수 : 29
제한할 수 : 28
선의의 제 : 28
성립할 수 : 28
소득세법 제 : 28
얻을 수 : 27
계산 시 : 27
연장할 수 : 27
신청 시 : 26
처분할 수 : 25
개발 및 : 25
행위를 한 : 25
다음 날 : 25
시설 중 : 25
생략할 수 : 25
고용자 수 : 24
적용할 수 : 24
건축할 수 : 24
지적도 및 : 24
종류 및 : 23
대하여 그 : 23
선임할 수 : 23
공유자 중 : 23
등록을 한 : 23
명할 수 : 23
표준 지 : 22
기준 일 : 22
대상이 될 : 22
아니한 자 : 22
확인할 수 : 22
제안할 수 : 22
농지법 제 : 22
경계 점 : 22
가등기 후 : 21
서명 및 : 21
신청을 할 : 21
추인할 수 : 20
산정 시 : 20
신고를 한 : 20
취득 시 : 20
받고 그 : 20
겸업할 수 : 20
수행할 수 : 19
철회할 수 : 19
청구를 할 : 19
자가 그 : 19
임대 부 : 19
신고 및 : 19
처분을 할 : 19
신고를 할 : 19
양립할 수 : 19
담보 부 : 18
기간 중 : 18
결정할 수 : 18
않는 한 : 18
설정할 수 : 18
등록을 할 : 18
받아 할 : 18
주택 및 : 17
관리 및 : 17
종료 후 : 17
수익할 수 : 17
적용 시 : 17
교부한 시 : 17
거짓이나 그 : 17
해지할 수 : 16
절차 및 : 16
수립 및 : 16
받은 후 : 16
징수할 수 : 16
부과할 수 : 16
내용 중 : 16
구할 수 : 15
목적으로 한 : 15
가장 큰 : 15
취득 및 : 15
초과 시 : 15
이용 및 : 15
이상의 시 : 15
본등기를 한 : 15
평가할 수 : 14
다음 중 : 14
아닌 제 : 14
경우에 그 : 14
있는 제 : 14
이내에 그 : 14
신고 시 : 14
문화 및 : 14
같을 때 : 13
지역 내 : 13
없다고 한 : 13
취득한 제 : 13
임대 및 : 13
만료 시 : 13
당사자 간 : 13
소유자 및 : 13
의결권의 각 : 13
보기 중 : 13
모두 몇 : 13
부담할 수 : 13
경우 시 : 13
초과할 수 : 13
변경 및 : 13
관할 시 : 13
등록할 수 : 13
계산할 때 : 13
항의 제 : 12
인정될 수 : 12
보호받는 제 : 12
보호되는 제 : 12
불능이 된 : 12
취득한 후 : 12
변경할 수 : 12
없이 그 : 12
공제할 수 : 12
증명할 수 : 12
지역 및 : 12
신청할 때 : 12
숫자가 큰 : 12
작은 것 : 12
열람 및 : 12
납부 및 : 12
아니라 그 : 11
완성 후 : 11
입지 및 : 11
종료 시 : 11
양도 시 : 11
가등기를 할 : 11
당시 그 : 11
제기할 수 : 11
용도지역 및 : 11
목적이 된 : 11
대상으로 한 : 11
시행규칙 제 : 11
열람할 수 : 11
영향을 줄 : 11
변경 시 : 11
선정 및 : 11
허가할 수 : 11
측량을 할 : 11
주택 수 : 11
곡선은 우 : 10
상당액 및 : 10
적용될 수 : 10
따라 그 : 10
통지할 수 : 10
요구할 수 : 10
토지 중 : 10
구역 내 : 10
있을 때 : 10
상대방이 될 : 10

=== 1-char + Word ===
수 있다 : 809
수 있습니다 : 638
수 있는 : 602
및 부동산 : 570
수 없다 : 354
수 있으므로 : 345
수 없습니다 : 340
에 따른 : 298
및 이용에 : 288
및 중개 : 280
중 부동산 : 280
및 관리 : 228
일 이내에 : 211
번 선택지는 : 170
수 없는 : 142
에 따라 : 111
그 밖의 : 93
한 경우 : 92
에 대한 : 88
에 들어갈 : 85
은 틀린 : 85
수 없으므로 : 85
은 모두 : 81
번 지문은 : 80
일 이내 : 72
년 이상 : 68
수 있으며 : 67
이 모두 : 64
년 이내에 : 63
년 이하의 : 61
군 관리 : 59
이 틀린 : 58
군 계획 : 58
번 설명은 : 57
둘 이상의 : 56
된 경우 : 56
이 포함되어 : 54
을 상대로 : 50
은 옳은 : 49
에 따르면 : 48
에 관한 : 47
중 옳은 : 45
번 지문이 : 44
은 옳으나 : 43
이 누락되어 : 42
을 모두 : 40
이 경우 : 37
명 이상 : 37
수 있으나 : 36
수 없으며 : 35
및 관리에 : 35
수 없다는 : 33
만 포함하고 : 33
년 이내 : 33
이 아니라 : 32
항 단서에 : 31
수 있다는 : 30
에 대해 : 30
그 효력이 : 29
에 대하여 : 28
수 없어 : 28
그 밖에 : 28
할 필요가 : 28
수 없고 : 27
에 해당하는 : 27
수 있고 : 27
할 때에는 : 27
및 동법 : 27
수 있어 : 26
군 기본 : 26
만 포함된 : 25
그 사실을 : 25
을 포함하고 : 24
일 전까지 : 24
인 경우 : 23
는 설명은 : 23
에 해당한다 : 23
중 틀린 : 22
수 있도록 : 22
일 이상 : 22
번 선택지가 : 21
수 없다고 : 21
가 아니라 : 21
그 토지를 : 21
번 선택지 : 21
이 포함된 : 21
조 단서에 : 20
에 의한 : 20
년 내에 : 20
은 특별한 : 19
에 해당하지 : 19
월 차임 : 19
부 분양 : 19
한 때에는 : 19
회 이상 : 19
이 됩니다 : 18
수 있을 : 18
한 것으로 : 18
이 아닌 : 17
가 아닌 : 17
년 이내의 : 17
도 모두 : 16
지 공시 : 16
항 단서 : 16
일 현재 : 16
만 옳다고 : 16
에 상당하는 : 16
년 이내로 : 16
도 옳으므로 : 15
및 토지 : 15
분 사무소를 : 15
분 사무소 : 15
및 변경에 : 15
은 맞으나 : 14
에 해당하여 : 14
그 등기는 : 14
번 설명이 : 14
한 경우에는 : 14
의 경우 : 14
은 올바른 : 14
년 미만 : 14
도 옳은 : 13
그 부동산을 : 13
이 옳으므로 : 13
몇 개인가 : 13
및 보상에 : 13
그 다음 : 13
의 동의 : 13
수 없을 : 13
한 경우는 : 13
분 사무소의 : 13
로 한다 : 13
후 본등기 : 13
그 효력을 : 12
을 대리하여 : 12
에 해당하며 : 12
때 나오는 : 12
개 동의 : 12
차 원리금 : 12
년 미만인 : 12
및 변경 : 12
은 틀리고 : 12
중 가장 : 12
한 자는 : 12
그 내용을 : 12
및 주택의 : 12
및 건축물의 : 12
일 후에 : 12
및 임야도에 : 12
및 지급이 : 12
시 또는 : 11
년 동안 : 11
복 대리인을 : 11
그 소유의 : 11
년 미만으로 : 11
을 대위하여 : 11
및 공급업 : 11
을 곱하여 : 11
그 토지의 : 11
및 주택 : 11
인 이상 : 11
종 근린 : 11
및 개발에 : 11
그 연월일을 : 11
가 되므로 : 10
의 구분 : 10
일 또는 : 10
은 자신의 : 10
더 이상 : 10
그 등기가 : 10
그 토지에 : 10
자 보호 : 10
한 경우에 : 10
그 기간은 : 10
큰 경우 : 10
은 직접 : 10
차 원금 : 10
로 잘못 : 10
그 기간 : 10
그 건물의 : 10
그 통지를 : 10
인 경우에는 : 10
그 토지 : 10
고 설명한 : 10
종 일반 : 10
개 이상의 : 10
에 한하여 : 10
등 계약 : 10
안 됩니다 : 10
및 집회시설 : 10
된 금액을 : 10
및 세율 : 10
등 소유자의 : 10
명 이하의 : 10
층 이상 : 10
천 제곱미터 : 10
및 지방세 : 10
및 임야도의 : 10
호 각하 : 10
의 소매 : 9
